seed,policy,selected_candidate_index,selected_candidate_id,heldout_draw_index,tomography_status,average_gate_fidelity,gate_efficiency,chi_trace_real,chi_trace_imag,chi_hermiticity_residual
1701,catalog,0,772678da0f939586,0,completed,0.770138331364841,0.05238045555052046,0.9999999999999999,-1.232595164407831e-32,2.7934188494572216e-15
1701,random,98,3671b814d016d916,0,completed,0.769459350035128,0.05984402214427725,1.0,2.465190328815662e-32,2.8342055582308626e-15
1701,greedy,98,3671b814d016d916,0,completed,0.769459350035128,0.05984402214427725,1.0,2.465190328815662e-32,2.8342055582308626e-15
1701,bads,98,3671b814d016d916,0,completed,0.769459350035128,0.05984402214427725,1.0,2.465190328815662e-32,2.8342055582308626e-15
1702,catalog,0,772678da0f939586,0,completed,0.8070238508023381,0.055390445428124435,1.0,2.465190328815662e-32,2.8249512141596656e-15
1702,random,42,5a130c39eb198917,0,completed,0.7964006857924315,0.06294116206877381,0.9999999999999998,-1.2942249226282225e-31,2.8171602926667275e-15
1702,greedy,69,0d5cb1591d67a132,0,completed,0.8093425614146798,0.0637943401984753,0.9999999999999999,-9.860761315262648e-32,2.817917812247637e-15
1702,bads,69,0d5cb1591d67a132,0,completed,0.8093425614146798,0.0637943401984753,0.9999999999999999,-9.860761315262648e-32,2.817917812247637e-15
1703,catalog,0,772678da0f939586,0,completed,0.7948748599092994,0.05745561323820085,1.0,-8.628166150854817e-32,2.837421746832517e-15
1703,random,56,0a644d2d70be8135,0,completed,0.7842916751979553,0.06427806494681171,1.0000000000000002,-2.465190328815662e-32,2.8152616806053135e-15
1703,greedy,67,368fa774234f33b3,0,completed,0.7944163652017684,0.06314152170298276,1.0,4.930380657631324e-32,2.826974121798785e-15
1703,bads,56,0a644d2d70be8135,0,completed,0.7842916751979553,0.06427806494681171,1.0000000000000002,-2.465190328815662e-32,2.8152616806053135e-15
1704,catalog,0,772678da0f939586,0,completed,0.8211783557164012,0.05756348549969637,0.9999999999999999,3.697785493223493e-32,2.819636034583575e-15
1704,random,56,3dda114ff12bbb68,0,completed,0.8118718547842732,0.06392725932838217,1.0,4.930380657631324e-32,2.774014626965526e-15
1704,greedy,72,3b02e4f0f245ffea,0,completed,0.8188412894729814,0.06651188913711842,1.0,2.465190328815662e-32,2.791549408565661e-15
1704,bads,72,3b02e4f0f245ffea,0,completed,0.8188412894729814,0.06651188913711842,1.0,2.465190328815662e-32,2.791549408565661e-15
1705,catalog,0,772678da0f939586,0,completed,0.7626124687951739,0.050705869001817144,0.9999999999999999,4.930380657631324e-32,2.778280116964128e-15
1705,random,11,fd0c56ac181e9354,0,completed,0.7639863292907157,0.05733501983748034,1.0000000000000002,-1.232595164407831e-32,2.821410415684693e-15
1705,greedy,88,c094c527ffddf72e,0,completed,0.7756937817404476,0.05827830900130842,1.0000000000000002,-7.395570986446986e-32,2.828945681309256e-15
1705,bads,88,c094c527ffddf72e,0,completed,0.7756937817404476,0.05827830900130842,1.0000000000000002,-7.395570986446986e-32,2.828945681309256e-15
1706,catalog,0,772678da0f939586,0,completed,0.8244822076933058,0.061176638546728855,0.9999999999999999,0.0,2.8001320946470353e-15
1706,random,35,5537f7f0cffb68f5,0,completed,0.8074786306270569,0.06875656189267224,0.9999999999999998,-4.930380657631324e-32,2.872903799494406e-15
1706,greedy,35,5537f7f0cffb68f5,0,completed,0.8074786306270569,0.06875656189267224,0.9999999999999998,-4.930380657631324e-32,2.872903799494406e-15
1706,bads,35,5537f7f0cffb68f5,0,completed,0.8074786306270569,0.06875656189267224,0.9999999999999998,-4.930380657631324e-32,2.872903799494406e-15
1707,catalog,0,772678da0f939586,0,completed,0.8499327459411352,0.06326229264891645,1.0000000000000002,3.697785493223493e-32,2.807469628775951e-15
1707,random,56,47d262321b216705,0,completed,0.8353072618430689,0.07098644717091619,1.0,1.232595164407831e-32,2.8326972522109655e-15
1707,greedy,56,47d262321b216705,0,completed,0.8353072618430689,0.07098644717091619,1.0,1.232595164407831e-32,2.8326972522109655e-15
1707,bads,56,47d262321b216705,0,completed,0.8353072618430689,0.07098644717091619,1.0,1.232595164407831e-32,2.8326972522109655e-15
1708,catalog,0,772678da0f939586,0,completed,0.8062646047351931,0.05827216734316033,0.9999999999999999,2.465190328815662e-32,2.8248323301479806e-15
1708,random,65,737996135c53969e,0,completed,0.7985895025246025,0.06519249367572508,1.0,-4.3140830754274083e-32,2.8287003298698122e-15
1708,greedy,103,65102bf2b1f83ff4,0,completed,0.8048978505581681,0.06626810205294446,0.9999999999999999,6.162975822039155e-33,2.8614682466058075e-15
1708,bads,103,65102bf2b1f83ff4,0,completed,0.8048978505581681,0.06626810205294446,0.9999999999999999,6.162975822039155e-33,2.8614682466058075e-15
