seed,split,draw_index,mean_mode_loss,bs_offset_0,bs_offset_1,bs_offset_2,bs_offset_3,bs_offset_4,bs_offset_5,phase_error_0,phase_error_1,mode_loss_0,mode_loss_1,mode_loss_2,mode_loss_3,mode_loss_4,mode_loss_5
1701,train,0,0.022116790794040168,0.013838328592185924,0.0026372519326713917,-0.038142335596281655,-0.0012322326744003316,-0.005430274481795756,-0.005901018373620106,0.0045699308895625936,-0.0005938022690585073,0.01777515766561003,0.028479871400806663,0.02150250399197433,0.023940968380785282,0.01784602578106233,0.023156217544002385
1701,train,1,0.021551421567270853,0.013838328592185924,0.0026372519326713917,-0.038142335596281655,-0.0012322326744003316,-0.005430274481795756,-0.005901018373620106,0.011378776274550485,0.008876044858607313,0.020348087778221745,0.019700584212166892,0.01185523312921839,0.022419610537808565,0.031026369075787652,0.023958644670421858
1701,train,2,0.02185122463246057,0.013838328592185924,0.0026372519326713917,-0.038142335596281655,-0.0012322326744003316,-0.005430274481795756,-0.005901018373620106,-0.002390874674465965,0.026184979454222844,0.02685210443185946,0.012437256424060968,0.01832289163045983,0.02214957603666845,0.026021561000654864,0.02532395827105985
1701,train,3,0.0258732664094347,0.013838328592185924,0.0026372519326713917,-0.038142335596281655,-0.0012322326744003316,-0.005430274481795756,-0.005901018373620106,-0.00764881219559824,-0.020019007157827513,0.02599534779929952,0.0266723479320358,0.022379512908293858,0.030478803375682,0.027056052025830103,0.022657534415466925
1701,train,4,0.013058030556571188,0.013838328592185924,0.0026372519326713917,-0.038142335596281655,-0.0012322326744003316,-0.005430274481795756,-0.005901018373620106,-0.004982392939720904,0.016347519981059842,0.012521198349232269,0.009721314227851777,0.016955246326343827,0.019240728567562516,0.0069774407075899264,0.012932255160846817
1701,train,5,0.015668174792060747,0.013838328592185924,0.0026372519326713917,-0.038142335596281655,-0.0012322326744003316,-0.005430274481795756,-0.005901018373620106,0.0003136635791318272,-0.020158331283784137,0.0164582676618419,0.01807575292099605,0.013533859221066574,0.020856487392013415,0.01554872188221019,0.009535959674236354
1701,train,6,0.024972991922845255,0.013838328592185924,0.0026372519326713917,-0.038142335596281655,-0.0012322326744003316,-0.005430274481795756,-0.005901018373620106,0.0019600776885557248,-0.016985925871705953,0.022675750559783246,0.02347397636830094,0.022561347512414853,0.034069959184887866,0.024623827297332923,0.022433090614351687
1701,train,7,0.015146832195208895,0.013838328592185924,0.0026372519326713917,-0.038142335596281655,-0.0012322326744003316,-0.005430274481795756,-0.005901018373620106,-1.122552294845593e-05,-0.0030577866104445723,0.012934333359612188,0.010831431450840083,0.015208198352561347,0.019761960409100655,0.021383428633170026,0.010761640965969065
1701,heldout,0,0.08006122637460819,0.013838328592185924,0.0026372519326713917,-0.038142335596281655,-0.0012322326744003316,-0.005430274481795756,-0.005901018373620106,0.03257004957213106,0.0051320002978725715,0.06513447384942751,0.08233682515173223,0.07531667378914202,0.08185002746632698,0.06738113575100138,0.10834822224001901
1701,heldout,1,0.04590099685725052,0.013838328592185924,0.0026372519326713917,-0.038142335596281655,-0.0012322326744003316,-0.005430274481795756,-0.005901018373620106,-0.013555675524627046,0.004377861054332227,0.03300675275966337,0.04619217888558654,0.03573082514343524,0.030819617095443685,0.05611665252913239,0.07353995473024191
